Chart_Name,File_Name,File_Path
actual_vs_predicted,actual_vs_predicted.png,E:\NPS_Analytics_Project\outputs\charts\actual_vs_predicted.png
age_group_analysis,age_group_analysis.png,E:\NPS_Analytics_Project\outputs\charts\age_group_analysis.png
age_group_distribution,age_group_distribution.png,E:\NPS_Analytics_Project\outputs\charts\age_group_distribution.png
attribute_importance,attribute_importance.png,E:\NPS_Analytics_Project\outputs\charts\attribute_importance.png
batch_analysis,batch_analysis.png,E:\NPS_Analytics_Project\outputs\charts\batch_analysis.png
correlation_heatmap,correlation_heatmap.png,E:\NPS_Analytics_Project\outputs\charts\correlation_heatmap.png
department_analysis,department_analysis.png,E:\NPS_Analytics_Project\outputs\charts\department_analysis.png
designation_analysis,designation_analysis.png,E:\NPS_Analytics_Project\outputs\charts\designation_analysis.png
experience_group_analysis,experience_group_analysis.png,E:\NPS_Analytics_Project\outputs\charts\experience_group_analysis.png
experience_group_distribution,experience_group_distribution.png,E:\NPS_Analytics_Project\outputs\charts\experience_group_distribution.png
gender_analysis,gender_analysis.png,E:\NPS_Analytics_Project\outputs\charts\gender_analysis.png
gender_distribution,gender_distribution.png,E:\NPS_Analytics_Project\outputs\charts\gender_distribution.png
instructor_improvement_priority,instructor_improvement_priority.png,E:\NPS_Analytics_Project\outputs\charts\instructor_improvement_priority.png
learning_attribute_analysis,learning_attribute_analysis.png,E:\NPS_Analytics_Project\outputs\charts\learning_attribute_analysis.png
marital_status_analysis,marital_status_analysis.png,E:\NPS_Analytics_Project\outputs\charts\marital_status_analysis.png
marital_status_distribution,marital_status_distribution.png,E:\NPS_Analytics_Project\outputs\charts\marital_status_distribution.png
nps_distribution,nps_distribution.png,E:\NPS_Analytics_Project\outputs\charts\nps_distribution.png
overall_nps_summary,overall_nps_summary.png,E:\NPS_Analytics_Project\outputs\charts\overall_nps_summary.png
predictive_feature_importance,predictive_feature_importance.png,E:\NPS_Analytics_Project\outputs\charts\predictive_feature_importance.png
region_analysis,region_analysis.png,E:\NPS_Analytics_Project\outputs\charts\region_analysis.png
role_analysis,role_analysis.png,E:\NPS_Analytics_Project\outputs\charts\role_analysis.png
root_cause_attribute_comparison,root_cause_attribute_comparison.png,E:\NPS_Analytics_Project\outputs\charts\root_cause_attribute_comparison.png
root_cause_gap_analysis,root_cause_gap_analysis.png,E:\NPS_Analytics_Project\outputs\charts\root_cause_gap_analysis.png
root_cause_nps_summary,root_cause_nps_summary.png,E:\NPS_Analytics_Project\outputs\charts\root_cause_nps_summary.png
root_cause_priority_matrix,root_cause_priority_matrix.png,E:\NPS_Analytics_Project\outputs\charts\root_cause_priority_matrix.png
trainer_attribute_analysis,trainer_attribute_analysis.png,E:\NPS_Analytics_Project\outputs\charts\trainer_attribute_analysis.png
