Table_Name,File_Name,File_Path
age_group_analysis,age_group_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\age_group_analysis.csv
attribute_importance,attribute_importance.csv,E:\NPS_Analytics_Project\outputs\tables\attribute_importance.csv
batch_analysis,batch_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\batch_analysis.csv
correlation_analysis,correlation_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\correlation_analysis.csv
correlation_matrix,correlation_matrix.csv,E:\NPS_Analytics_Project\outputs\tables\correlation_matrix.csv
demographic_age_group_summary,demographic_age_group_summary.csv,E:\NPS_Analytics_Project\outputs\tables\demographic_age_group_summary.csv
demographic_department_summary,demographic_department_summary.csv,E:\NPS_Analytics_Project\outputs\tables\demographic_department_summary.csv
demographic_experience_group_summary,demographic_experience_group_summary.csv,E:\NPS_Analytics_Project\outputs\tables\demographic_experience_group_summary.csv
demographic_gender_summary,demographic_gender_summary.csv,E:\NPS_Analytics_Project\outputs\tables\demographic_gender_summary.csv
demographic_marital_status_summary,demographic_marital_status_summary.csv,E:\NPS_Analytics_Project\outputs\tables\demographic_marital_status_summary.csv
demographic_region_summary,demographic_region_summary.csv,E:\NPS_Analytics_Project\outputs\tables\demographic_region_summary.csv
department_analysis,department_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\department_analysis.csv
descriptive_statistics,descriptive_statistics.csv,E:\NPS_Analytics_Project\outputs\tables\descriptive_statistics.csv
designation_analysis,designation_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\designation_analysis.csv
experience_group_analysis,experience_group_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\experience_group_analysis.csv
gender_analysis,gender_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\gender_analysis.csv
hypothesis_testing,hypothesis_testing.csv,E:\NPS_Analytics_Project\outputs\tables\hypothesis_testing.csv
improvements_summary,improvements_summary.csv,E:\NPS_Analytics_Project\outputs\tables\improvements_summary.csv
instructor_improvement_priority,instructor_improvement_priority.csv,E:\NPS_Analytics_Project\outputs\tables\instructor_improvement_priority.csv
learning_attribute_analysis,learning_attribute_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\learning_attribute_analysis.csv
marital_status_analysis,marital_status_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\marital_status_analysis.csv
model_comparison,model_comparison.csv,E:\NPS_Analytics_Project\outputs\tables\model_comparison.csv
most_common_improvements,most_common_improvements.csv,E:\NPS_Analytics_Project\outputs\tables\most_common_improvements.csv
most_common_strengths,most_common_strengths.csv,E:\NPS_Analytics_Project\outputs\tables\most_common_strengths.csv
overall_nps_summary,overall_nps_summary.csv,E:\NPS_Analytics_Project\outputs\tables\overall_nps_summary.csv
predictive_feature_importance,predictive_feature_importance.csv,E:\NPS_Analytics_Project\outputs\tables\predictive_feature_importance.csv
region_analysis,region_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\region_analysis.csv
role_analysis,role_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\role_analysis.csv
root_cause_attribute_comparison,root_cause_attribute_comparison.csv,E:\NPS_Analytics_Project\outputs\tables\root_cause_attribute_comparison.csv
root_cause_gap_analysis,root_cause_gap_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\root_cause_gap_analysis.csv
root_cause_nps_summary,root_cause_nps_summary.csv,E:\NPS_Analytics_Project\outputs\tables\root_cause_nps_summary.csv
root_cause_priority_matrix,root_cause_priority_matrix.csv,E:\NPS_Analytics_Project\outputs\tables\root_cause_priority_matrix.csv
strengths_summary,strengths_summary.csv,E:\NPS_Analytics_Project\outputs\tables\strengths_summary.csv
trainer_attribute_analysis,trainer_attribute_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\trainer_attribute_analysis.csv
trainer_facilitation_analysis,trainer_facilitation_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\trainer_facilitation_analysis.csv
trainer_feedback_quality_analysis,trainer_feedback_quality_analysis.csv,E:\NPS_Analytics_Project\outputs\tables\trainer_feedback_quality_analysis.csv
trainer_performance_summary,trainer_performance_summary.csv,E:\NPS_Analytics_Project\outputs\tables\trainer_performance_summary.csv
