Batch No,Participants,Average_NPS,Promoters,Passives,Average_Content_Index,Average_Trainer_Index,Average_Environment_Index,Promoter_Percentage
Batch-2,13,9.692307692307692,13,0,3.7948717948717947,3.8205128205128203,3.8076923076923075,100.0
Batch-1,18,9.5,16,2,3.814814814814815,3.888888888888889,3.7777777777777777,88.88888888888889
Batch-5,11,9.363636363636363,9,2,3.606060606060606,3.848484848484848,3.6818181818181817,81.81818181818183
Batch-6,14,9.285714285714286,10,4,3.7857142857142856,3.8095238095238098,3.857142857142857,71.42857142857143
Batch-3,19,9.157894736842104,15,4,3.7719298245614037,3.807017543859649,3.736842105263158,78.94736842105263
Batch-4,14,9.142857142857142,10,4,3.5238095238095233,3.619047619047619,3.5714285714285716,71.42857142857143
Bstch-7,17,9.058823529411764,12,5,3.784313725490196,3.862745098039216,3.823529411764706,70.58823529411765
Batch-10,13,9.0,11,2,3.5897435897435894,3.6153846153846154,3.576923076923077,84.61538461538461
Batch-11,18,8.88888888888889,13,5,3.6481481481481484,3.6666666666666665,3.611111111111111,72.22222222222221
Bstch-9,10,8.8,7,3,3.4,3.5333333333333337,3.6,70.0
Batch-8,14,8.785714285714286,10,4,3.5714285714285716,3.619047619047619,3.5714285714285716,71.42857142857143
