Dept,Participants,Average_NPS,Std_NPS,Promoters,Promoter_Percentage
CP,27,9.481481481481481,0.6427327695904524,25,92.59
CP SP,9,9.11111111111111,0.9279607271383369,8,88.89
Design,13,9.153846153846153,0.6887372317211944,11,84.62
MKTG,1,8.0,,0,0.0
NPD - 2W (ICE & EV),10,9.5,0.8498365855987978,8,80.0
NPD - CMB,6,9.666666666666666,0.5163977794943223,6,100.0
OPNS,3,9.666666666666666,0.5773502691896258,3,100.0
PED,21,9.095238095238095,0.6248809410409236,18,85.71
PED (M),1,9.0,,1,100.0
QAD,29,9.03448275862069,1.0516231882424714,20,68.97
R&D-Chassis Sy,12,8.666666666666666,1.435481125130547,6,50.0
R&D-EV Sys D&D,1,10.0,,1,100.0
R&D-PWT<11kW,17,9.0,0.8660254037844386,13,76.47
R&D-PWT>11kW,7,8.571428571428571,0.7867957924694431,3,42.86
R&D-Veh Engg,4,9.5,0.9999999999999998,3,75.0
