Region,Participants,Average_NPS,Std_NPS,Promoters,Promoter_Percentage
Andhra Pradesh,11,9.454545454545455,0.5222329678670934,11,100.0
Bihar,5,8.8,1.3038404810405297,3,60.0
Chhattisgarh,1,10.0,,1,100.0
Delhi,1,10.0,,1,100.0
Gujarat,1,9.0,,1,100.0
Haryana,1,10.0,,1,100.0
Himachal Pradesh,1,9.0,,1,100.0
Jharkhand,4,10.0,0.0,4,100.0
Karnataka,17,9.352941176470589,0.9963167462326072,15,88.24
Kerala,6,9.0,0.8944271909999157,4,66.67
Madhya Pradesh,4,9.25,0.9574271077563381,3,75.0
Maharashtra,6,9.166666666666666,0.983192080250175,4,66.67
Odisha,2,8.0,0.0,0,0.0
Puducherry,1,9.0,,1,100.0
Punjab,1,9.0,,1,100.0
Rajasthan,3,8.666666666666666,1.1547005383792517,1,33.33
Tamil Nadu,84,9.083333333333334,0.8945394363653577,66,78.57
Telangana,4,8.75,0.9574271077563381,2,50.0
Uttar Pradesh,7,9.285714285714286,0.951189731211342,5,71.43
West Bengal,1,10.0,,1,100.0
