Dept,Participants,Average_NPS,Promoters,Passives,Average_Content_Index,Average_Trainer_Index,Average_Environment_Index,Promoter_Percentage
R&D-EV Sys D&D,1,10.0,1,0,4.0,4.0,4.0,100.0
NPD - CMB,6,9.666666666666666,6,0,3.944444444444444,4.0,3.75,100.0
OPNS,3,9.666666666666666,3,0,3.888888888888889,4.0,3.8333333333333335,100.0
R&D-Veh Engg,4,9.5,3,1,4.0,4.0,3.875,75.0
NPD - 2W (ICE & EV),10,9.5,8,2,3.9666666666666663,4.0,4.0,80.0
CP,27,9.481481481481481,25,2,3.753086419753086,3.753086419753086,3.7222222222222223,92.5925925925926
Design,13,9.153846153846153,11,2,3.769230769230769,3.794871794871795,3.769230769230769,84.61538461538461
CP SP,9,9.11111111111111,8,1,3.4814814814814814,3.5555555555555554,3.611111111111111,88.88888888888889
PED,21,9.095238095238095,18,3,3.5079365079365084,3.650793650793651,3.5714285714285716,85.71428571428571
QAD,29,9.03448275862069,20,9,3.6551724137931036,3.6551724137931036,3.6724137931034484,68.96551724137932
R&D-PWT<11kW,17,9.0,13,4,3.6078431372549016,3.7450980392156863,3.6470588235294117,76.47058823529412
PED (M),1,9.0,1,0,4.0,4.0,4.0,100.0
R&D-Chassis Sy,12,8.666666666666666,6,6,3.472222222222222,3.5555555555555554,3.4583333333333335,50.0
R&D-PWT>11kW,7,8.571428571428571,3,4,3.761904761904762,3.952380952380952,3.9285714285714284,42.857142857142854
MKTG,1,8.0,0,1,2.6666666666666665,3.6666666666666665,3.5,0.0
