Designation,Participants,Average_NPS,Promoters,Passives,Average_Content_Index,Average_Trainer_Index,Average_Environment_Index,Promoter_Percentage
AVP - NPD 2W EV (Commuter Segment),1,10.0,1,0,3.6666666666666665,4.0,4.0,100.0
Deputy General Manager - Purchase,1,10.0,1,0,4.0,4.0,4.0,100.0
Deputy Manager - NPD Purchase,2,10.0,2,0,4.0,4.0,4.0,100.0
Manager - R & D,1,10.0,1,0,4.0,4.0,4.0,100.0
Senior Engineer - Engineering,1,10.0,1,0,4.0,4.0,4.0,100.0
Senior Engineer - Quality Assurance,4,10.0,4,0,4.0,4.0,4.0,100.0
Diploma Engineer Trainee,5,9.8,5,0,3.8666666666666663,3.8,3.7,100.0
Deputy Manager - Purchase,4,9.75,4,0,3.833333333333333,3.9166666666666665,3.75,100.0
Senior Engineer - Purchase,3,9.666666666666666,3,0,4.0,4.0,4.0,100.0
Assistant Manager - Purchase,5,9.6,5,0,3.6,3.5333333333333328,3.4,100.0
Senior Engineer - Manufacturing Quality,2,9.5,2,0,3.833333333333333,4.0,3.75,100.0
Senior Engineer,29,9.344827586206897,24,5,3.7126436781609193,3.8275862068965516,3.7413793103448274,82.75862068965517
Assistant Manager- R & D,9,9.222222222222221,7,2,3.703703703703704,3.6296296296296293,3.5555555555555554,77.77777777777779
Senior Engineer - PE,13,9.153846153846153,11,2,3.5128205128205128,3.7435897435897436,3.6153846153846154,84.61538461538461
Assistant Manager - PE,7,9.142857142857142,6,1,3.5238095238095233,3.619047619047619,3.7142857142857144,85.71428571428571
Deputy Manager - R & D,15,9.066666666666666,11,4,3.6222222222222222,3.7555555555555555,3.566666666666667,73.33333333333333
Assistant Manager - R&D,1,9.0,1,0,4.0,4.0,4.0,100.0
Manager - Purchase,9,9.0,7,2,3.6666666666666665,3.6666666666666665,3.7777777777777777,77.77777777777779
Engineer - PE,1,9.0,1,0,4.0,4.0,4.0,100.0
Engineer - Purchase,3,9.0,2,1,3.5555555555555554,3.6666666666666665,3.6666666666666665,66.66666666666666
Senior Manager,1,9.0,1,0,4.0,4.0,3.5,100.0
Assistant Manager - Quality Assurance,4,9.0,3,1,3.583333333333333,3.75,3.75,75.0
Deputy Manager - PE,3,9.0,3,0,3.444444444444444,3.222222222222222,3.3333333333333335,100.0
Deputy Manager - Quality Assurance,6,9.0,4,2,3.6666666666666665,3.5555555555555554,3.6666666666666665,66.66666666666666
Senior Manager - Purchase,1,9.0,1,0,4.0,4.0,4.0,100.0
Senior Engineer - R & D,6,9.0,5,1,3.722222222222222,3.7777777777777772,3.8333333333333335,83.33333333333334
Assistant Manager - R & D,11,8.727272727272727,6,5,3.7878787878787876,3.909090909090909,3.909090909090909,54.54545454545454
Assistant Manager,3,8.333333333333334,1,2,4.0,4.0,4.0,33.33333333333333
Manager - Quality Assurance,7,8.142857142857142,3,4,3.3809523809523805,3.333333333333333,3.357142857142857,42.857142857142854
Deputy Manager,1,8.0,0,1,3.0,3.0,3.0,0.0
Deputy Manager - Marketing,1,8.0,0,1,2.6666666666666665,3.6666666666666665,3.5,0.0
Assistant manager - Purchase,1,8.0,0,1,3.0,3.0,3.0,0.0
