Region,Participants,Average_NPS,Promoters,Passives,Average_Content_Index,Average_Trainer_Index,Average_Environment_Index,Promoter_Percentage
Delhi,1,10.0,1,0,4.0,4.0,3.5,100.0
Chhattisgarh,1,10.0,1,0,4.0,4.0,4.0,100.0
Jharkhand,4,10.0,4,0,4.0,3.833333333333333,3.75,100.0
Haryana,1,10.0,1,0,4.0,4.0,4.0,100.0
West Bengal,1,10.0,1,0,4.0,4.0,4.0,100.0
Andhra Pradesh,11,9.454545454545455,11,0,3.4848484848484844,3.6363636363636362,3.727272727272727,100.0
Karnataka,17,9.352941176470589,15,2,3.764705882352941,3.8431372549019605,3.823529411764706,88.23529411764706
Uttar Pradesh,7,9.285714285714286,5,2,3.761904761904762,3.857142857142857,3.642857142857143,71.42857142857143
Madhya Pradesh,4,9.25,3,1,3.6666666666666665,3.9166666666666665,3.75,75.0
Maharashtra,6,9.166666666666666,4,2,3.6666666666666665,3.888888888888889,3.9166666666666665,66.66666666666666
Tamil Nadu,84,9.083333333333334,66,18,3.6984126984126986,3.7142857142857144,3.6726190476190474,78.57142857142857
Kerala,6,9.0,4,2,3.388888888888889,3.5,3.4166666666666665,66.66666666666666
Punjab,1,9.0,1,0,4.0,4.0,4.0,100.0
Himachal Pradesh,1,9.0,1,0,3.0,3.333333333333333,3.0,100.0
Gujarat,1,9.0,1,0,4.0,4.0,4.0,100.0
Puducherry,1,9.0,1,0,4.0,4.0,3.5,100.0
Bihar,5,8.8,3,2,3.4666666666666663,3.6666666666666665,3.7,60.0
Telangana,4,8.75,2,2,3.583333333333333,3.75,3.625,50.0
Rajasthan,3,8.666666666666666,1,2,3.888888888888889,4.0,4.0,33.33333333333333
Odisha,2,8.0,0,2,2.833333333333333,3.333333333333333,3.25,0.0
