Role,Participants,Average_NPS,Promoters,Passives,Average_Content_Index,Average_Trainer_Index,Average_Environment_Index,Promoter_Percentage
Category Head - Commercials & IT,1,10.0,1,0,4.0,4.0,4.0,100.0
Part Design Engineer - Wheels & Brakes,1,10.0,1,0,4.0,4.0,4.0,100.0
Engine Design engineer,1,10.0,1,0,4.0,4.0,4.0,100.0
Part Design Engineer - Eng (CAD Designing),1,10.0,1,0,3.6666666666666665,4.0,3.0,100.0
Development Engineer - Plastic,2,10.0,2,0,4.0,4.0,4.0,100.0
Diploma Engineer Trainee,2,10.0,2,0,4.0,4.0,4.0,100.0
Segment Head,1,10.0,1,0,3.6666666666666665,4.0,4.0,100.0
Sub System Design Engineer - Powertrain,1,10.0,1,0,4.0,4.0,4.0,100.0
Quality Associate,1,10.0,1,0,4.0,4.0,4.0,100.0
Process Planning Engineer - Packing,1,10.0,1,0,4.0,4.0,4.0,100.0
CAD Engineer,3,9.666666666666666,3,0,3.888888888888889,4.0,4.0,100.0
Team Leader - Service Unit,3,9.666666666666666,3,0,3.888888888888889,4.0,3.8333333333333335,100.0
Quality Conformance Engineer,10,9.6,9,1,3.8,3.8666666666666663,3.85,90.0
Development Engineer,24,9.416666666666666,21,3,3.736111111111111,3.763888888888889,3.6875,87.5
Sourcing & Development Engineer,11,9.272727272727273,10,1,3.666666666666666,3.727272727272727,3.8181818181818183,90.9090909090909
Design Engineer,20,9.25,17,3,3.85,3.9166666666666665,3.825,85.0
Proving Engineer,23,9.130434782608695,20,3,3.550724637681159,3.652173913043478,3.5869565217391304,86.95652173913044
Crank train - Design engineer,1,9.0,1,0,3.6666666666666665,4.0,4.0,100.0
Transmission - Design engineer,2,9.0,2,0,3.1666666666666665,3.333333333333333,3.5,100.0
Sub-System Design Engineer,2,9.0,1,1,3.5,3.5,3.5,50.0
Design Engineer-Mechanical,6,9.0,3,3,3.444444444444444,3.7777777777777772,3.75,50.0
Design Engineer-Mechanical (CFD),1,9.0,1,0,3.6666666666666665,4.0,4.0,100.0
Part Design Engineer,12,9.0,9,3,3.6944444444444446,3.6666666666666665,3.5416666666666665,75.0
Engine - Design engineer,1,9.0,1,0,4.0,4.0,3.5,100.0
Process Planning Engineer,2,9.0,2,0,3.333333333333333,3.333333333333333,3.5,100.0
Part Design Engineer Bodyworks,1,9.0,1,0,4.0,4.0,4.0,100.0
Quality Engineer,10,8.9,6,4,3.6333333333333337,3.6,3.65,60.0
Part Design Engineer - Bodyparts,2,8.5,1,1,4.0,4.0,4.0,50.0
Quality Analyst,6,8.333333333333334,3,3,3.388888888888889,3.3333333333333335,3.4166666666666665,50.0
Associate Brand Manager,1,8.0,0,1,2.6666666666666665,3.6666666666666665,3.5,0.0
Design Engineer - Cylinder Head And Block System,1,8.0,0,1,3.333333333333333,4.0,4.0,0.0
Part Design Engineer – Body Works,1,8.0,0,1,3.0,3.0,3.0,0.0
Fuel System Design Engineer,1,8.0,0,1,3.0,3.0,3.0,0.0
Development Engineer Casting & Forging,1,8.0,0,1,4.0,4.0,4.0,0.0
Subsystem Design Engineer - Cooling system,1,8.0,0,1,3.6666666666666665,4.0,4.0,0.0
Design Engineer - Mechanical,1,7.0,0,1,3.333333333333333,3.0,3.0,0.0
"Design Engineer - Induction, Exhaust & Fuel Systems",1,7.0,0,1,3.6666666666666665,3.6666666666666665,3.0,0.0
QAD - Plant Supplier Quality,1,7.0,0,1,3.333333333333333,3.333333333333333,3.0,0.0
